Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,772138818,9906.149464072587,1458,0.018705400611807907,0,6985964,89.62637536328394,26,0.0003335668147510326,0,
United States of America,Americas,103436829,31249.547,0,0,0,1144877,345.882,0,0,0
China,Western Pacific,99320723,6750.602,53,0.004,0,121877,8.284,0,0,0
India,South-East Asia,45002179,3261.017,293,0.021,0,533300,38.645,2,0,0
France,Europe,38997490,59959.831,0,0,0,167985,258.282,0,0,0
Germany,Europe,38437756,46217.718,0,0,0,174979,210.395,0,0,0
Brazil,Americas,37519960,17651.516,0,0,0,702116,330.315,0,0,0
Republic of Korea,Western Pacific,34571873,67432.071,0,0,0,35934,70.089,0,0,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Italy,Europe,26318717,44128.203,0,0,0,192909,323.448,0,0,0
The United Kingdom,Europe,24812582,36550.365,0,0,0,232112,341.914,0,0,0
Russian Federation,Europe,23258444,15937.596,0,0,0,400488,274.43,0,0,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13980340,29536.378,0,0,0,121852,257.438,0,0,0
Australia,Western Pacific,11678853,45799.632,0,0,0,23766,93.2,0,0,0
Viet Nam,Western Pacific,11624000,11941.822,0,0,0,43206,44.387,0,0,0
Argentina,Americas,10072905,22287.272,0,0,0,130678,289.138,0,0,0
Netherlands,Europe,8620051,49518.937,0,0,0,22986,132.046,0,0,0
Mexico,Americas,7702387,5973.957,0,0,0,334917,259.761,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7624699,9077.785,292,0.348,0,146724,174.686,19,0.023,0
Indonesia,South-East Asia,6813429,2490.984,0,0,0,161918,59.197,0,0,0
Poland,Europe,6553317,17264.59,0,0,0,119753,315.487,0,0,0
Colombia,Americas,6383948,12546.355,0,0,0,142727,280.501,0,0,0
Austria,Europe,6081287,68320.9,0,0,0,22534,253.161,0,0,0
Portugal,Europe,5631629,54697.735,0,0,0,27702,269.058,0,0,0
Ukraine,Europe,5520483,12622.933,0,0,0,109918,251.334,0,0,0
Greece,Europe,5464525,50981.871,0,0,0,37869,353.303,0,0,0
Chile,Americas,5319739,27828.432,0,0,0,61996,324.311,0,0,0
Malaysia,Western Pacific,5140563,15882.603,0,0,0,37201,114.939,0,0,0
Israel,Europe,4841772,55938.41,0,0,0,12707,146.808,0,0,0
Belgium,Europe,4829921,41917.519,0,0,0,34339,298.018,0,0,0
Thailand,South-East Asia,4760122,6819.661,536,0.768,0,34495,49.42,3,0.004,0
Canada,Americas,4731777,12537.114,0,0,0,53255,141.102,0,0,0
Czechia,Europe,4684233,43802.69,0,0,0,43019,402.275,0,0,0
Peru,Americas,4520102,13708.971,0,0,0,221564,671.979,0,0,0
Switzerland,Europe,4425596,51135.66,0,0,0,14086,162.757,0,0,0
Philippines,Western Pacific,4123920,3763.35,0,0,0,66755,60.918,0,0,0
South Africa,Africa,4072575,6866.742,0,0,0,102595,172.985,0,0,0
Romania,Europe,3501193,18113.831,0,0,0,68590,354.858,0,0,0
Denmark,Europe,3417017,58683.773,0,0,0,8824,151.543,0,0,0
Singapore,Western Pacific,2739037,46818.408,0,0,0,1933,33.041,0,0,0
Sweden,Europe,2728931,26423.699,0,0,0,25332,245.285,0,0,0
Serbia,Europe,2583470,37297.243,0,0,0,18057,260.687,0,0,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
New Zealand,Western Pacific,2422392,50233.823,0,0,0,3549,73.597,0,0,0
Hungary,Europe,2212994,22652.01,0,0,0,48848,500.004,0,0,0
Bangladesh,South-East Asia,2046090,1242.393,14,0.009,0,29477,17.899,0,0,0
Slovakia,Europe,1868801,34240.463,0,0,0,21167,387.825,0,0,0
Georgia,Europe,1855289,46508.088,0,0,0,17132,429.462,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1725026,34747.645,0,0,0,9366,188.662,0,0,0
Pakistan,Eastern Mediterranean,1580631,715.566,0,0,0,30656,13.878,0,0,0
Kazakhstan,Europe,1502857,8003.837,0,0,0,19072,101.573,0,0,0
Finland,Europe,1499712,27142.674,0,0,0,10864,196.623,0,0,0
Norway,Europe,1489459,27749.172,0,0,0,5732,106.789,0,0,0
Lithuania,Europe,1350542,48335.666,0,0,0,9761,349.345,0,0,0
Slovenia,Europe,1347064,64272.583,0,0,0,9487,452.654,0,0,0
Bulgaria,Europe,1312102,18875.141,0,0,0,38494,553.752,0,0,0
Morocco,Eastern Mediterranean,1277862,3462.05,116,0.314,0,16297,44.153,0,0,0
Croatia,Europe,1277094,31469.741,0,0,0,18495,455.748,0,0,0
Puerto Rico,Americas,1252713,43788.094,0,0,0,5938,207.56,0,0,0
Guatemala,Americas,1250301,6978.852,0,0,0,20201,112.757,0,0,0
Lebanon,Eastern Mediterranean,1239904,18165.907,0,0,0,10947,160.385,0,0,0
Costa Rica,Americas,1230653,24158.314,0,0,0,9368,183.898,0,0,0
Bolivia (Plurinational State of),Americas,1209626,10362.579,0,0,0,22407,191.955,0,0,0
Tunisia,Eastern Mediterranean,1153361,9758.847,0,0,0,29423,248.955,0,0,0
Cuba,Americas,1115043,9844.45,0,0,0,8530,75.309,0,0,0
United Arab Emirates,Eastern Mediterranean,1067030,10788.54,0,0,0,2349,23.75,0,0,0
Ecuador,Americas,1065377,6038.507,0,0,0,36036,204.25,0,0,0
Panama,Americas,1041696,24142.578,0,0,0,8651,200.498,0,0,0
Uruguay,Americas,1040596,29956.157,0,0,0,7656,220.397,0,0,0
Mongolia,Western Pacific,1011319,30848.979,0,0,0,2284,69.67,0,0,0
Nepal,South-East Asia,1003450,3443.926,0,0,0,12031,41.291,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,976798,51203.586,0,0,0,7412,388.536,0,0,0
Saudi Arabia,Eastern Mediterranean,841469,2417.051,0,0,0,9646,27.707,0,0,0
Azerbaijan,Europe,834135,8226.853,0,0,0,10367,102.247,0,0,0
Paraguay,Americas,736118,10320.562,0,0,0,19933,279.466,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,672639,3141.228,5,0.023,0,16886,78.858,0,0,0
Kuwait,Eastern Mediterranean,666538,15607.702,9,0.211,0,2570,60.179,0,0,0
Dominican Republic,Americas,661180,6094.999,0,0,0,4384,40.413,0,0,0
Cyprus,Europe,660854,74420.076,0,0,0,1364,153.603,0,0,0
Myanmar,South-East Asia,641383,1178.801,7,0.013,0,19494,35.828,0,0,0
Republic of Moldova,Europe,627458,15554.382,0,0,0,12154,301.292,0,0,0
Estonia,Europe,602909,45366.433,0,0,0,2906,218.665,0,0,0
Venezuela (Bolivarian Republic of),Americas,552695,1943.649,0,0,0,5856,20.594,0,0,0
Egypt,Eastern Mediterranean,516023,504.252,0,0,0,24830,24.264,0,0,0
Qatar,Eastern Mediterranean,514524,17858.887,0,0,0,690,23.95,0,0,0
Libya,Eastern Mediterranean,507269,7382.44,0,0,0,6437,93.68,0,0,0
Ethiopia,Africa,501087,435.866,0,0,0,7574,6.588,0,0,0
Réunion,Africa,494595,55242.753,0,0,0,921,102.869,0,0,0
Honduras,Americas,472743,4772.961,0,0,0,11114,112.21,0,0,0
Armenia,Europe,451107,15223.469,0,0,0,8774,296.095,0,0,0
Bosnia and Herzegovina,Europe,403355,12294.354,0,0,0,16369,498.931,0,0,0
Oman,Eastern Mediterranean,399449,7822.171,0,0,0,4628,90.627,0,0,0
Luxembourg,Europe,386030,61655.497,0,0,0,1000,159.717,0,0,0
North Macedonia,Europe,349868,16793.288,0,0,0,9958,477.973,0,0,0
