1,7,Andrew Stanton
2,39,Sam Mendes
3,59,Luc Besson
4,1704,Gore Verbinski
5,197,David Silverman
6,224,David Cronenberg
7,190,Clint Eastwood
8,814,Tony Kaye
9,488,Steven Spielberg
10,638,Michael Mann
11,865,Michael Bay
12,578,Ridley Scott
13,956,Guy Ritchie
14,510,Tim Burton
15,108,Peter Jackson
16,1223,Joel Coen
17,1577,Richard Kelly
18,525,Christopher Nolan
19,1884,Steven Soderbergh
20,2226,Sydney Pollack
21,2388,Jonathan Frakes
22,2523,Stuart Baird
23,2945,Stephen Gaghan
24,3224,Stephen Frears
25,3288-3289,"Chris Weitz, Paul Weitz"
26,7213,Jonathan Mostow
27,769,Martin Brest
28,4499,Tom Shadyac
29,4586,Pitof
30,4755,David R. Ellis
31,4945,Joe Johnston
32,4762,Paul Thomas Anderson
33,240,Stanley Kubrick
34,5065,David Frankel
35,5281,Spike Lee
36,4014,Paul W.S. Anderson
37,5572,Joel Schumacher
38,5655,Wes Anderson
39,5713,Chris Wedge
40,6046,Roland Emmerich
41,6037-6038,"Colin Strause, Greg Strause"
42,6159,Ron Howard
43,6201,Baz Luhrmann
44,6482,John Singleton
45,6767,Larry Charles
46,4027,Frank Darabont
47,5231,Wolfgang Petersen
48,7018,Richard Curtis
49,7313-7314,"Steve Box, Nick Park"
50,36425,McG
51,7395-7396,"Bobby Farrelly, Peter Farrelly"
52,4135,Robert Redford
53,7467,David Fincher
54,7623,Sam Raimi
55,10943,Francis Lawrence
56,10491,Paul Verhoeven
57,7775,Stephen Sommers
58,12890,Pete Docter
59,8246,Barry Levinson
60,468,Stephen Daldry
61,2710,James Cameron
62,9339-9340,"Lilly Wachowski, Lana Wachowski"
63,5174,Barry Sonnenfeld
64,2461,Mel Gibson
65,9181,Edward Zwick
66,9158,Sharon Maguire
67,2209,Jan de Bont
68,10965,Chris Columbus
69,11218,Alfonso Cuarón
70,10723,Mike Newell
71,11343,David Yates
72,24,Robert Zemeckis
73,6737,Jay Roach
74,5216,Gus Van Sant
75,11090,Edgar Wright
76,11266,James McTeigue
77,11401,John Woo
78,11447-11448,"Albert Hughes, Allen Hughes"
79,8685,Andrew Niccol
80,11649,Cameron Crowe
81,11887,Brad Silberling
82,11873,Roger Kumble
83,12028,John Moore
84,5524-12058,"Andrew Adamson, Vicky Jenson"
85,5524-12079-12080,"Andrew Adamson, Kelly Asbury, Conrad Vernon"
86,12098-12099,"Chris Miller, Raman Hui"
87,12523,Rob Bowman
88,2352,Jean-Jacques Annaud
89,7879,John Lasseter
90,13581,Brian Levant
91,1090,John McTiernan
92,7879-7911,"John Lasseter, Joe Ranft"
93,15002,Dean Parisot
94,7187,Richard Donner
95,18863-18864,"Eric Darnell, Tom McGrath"
96,1150,Brian De Palma
97,15344,J.J. Abrams
98,15361,Josef Rusnak
99,15557,Bill Condon
100,2239,Anthony Minghella
101,16483,Sylvester Stallone
102,380,Robert De Niro
103,16837,Mark Steven Johnson
104,16842,Stephen J. Anderson
105,15217,Zack Snyder
106,19499,Kevin Munroe
107,6431,Darren Aronofsky
108,20646,Gabriele Muccino
109,1032,Martin Scorsese
110,2294,Robert Rodriguez
111,5010,Todd Field
112,9032,Bryan Singer
113,10828,Guillermo del Toro
114,18281,Donald Petrie
115,29922,Marcus Nispel
116,893,Tony Scott
117,7017,Roger Michell
118,17403,Mike Judge
119,3950,Len Wiseman
120,17698,Nancy Meyers
121,564,Richard Linklater
122,508,David Koepp
123,17812,Gregory Hoblit
124,17825,Shawn Levy
125,18184,Xavier Gens
126,1524,Harold Ramis
127,18320,Bronwen Hughes
128,10702,Martin Campbell
129,18596,Taylor Hackford
130,2042,Stephen Hopkins
131,12786,Simon West
132,2260,Steven Zaillian
133,18844,John Madden
134,18865,Louis Leterrier
135,15277,Jon Favreau
136,18898,Rob Minkoff
137,18878,Rob Cohen
138,7256,Lee Tamahori
139,17016,Neil Jordan
140,19271-19272,"Anthony Russo, Joe Russo"
141,13426,Peter Segal
142,19304,John Schlesinger
143,1152,Oliver Stone
144,17633,Rob Marshall
145,280,Terry Gilliam
146,1769,Sofia Coppola
147,19969,Pat O'Connor
148,1614,Ang Lee
149,87742,Marc Webb
150,20218-20219,"Eric Bress, J. Mackye Gruber"
151,12989,Andrew Davis
152,20310,Takashi Shimizu
153,20400,Tim Story
154,20561,James Gray
155,20739,Adam Shankman
156,20779,Gary Sinyor
157,32593,Steven Brill
158,20907,Antoine Fuqua
159,21031,Alejandro Agresti
160,21085,Alex Proyas
161,1269,Kevin Costner
162,21136,Michael Cristofer
163,12962,Jon Turteltaub
164,7087-7930,"Brad Bird, Jan Pinkava"
165,21217,Jonathan Lynn
166,13079,Gavin Hood
167,10765,Andrzej Bartkowiak
168,21526,Rod Lurie
169,11091,Brett Ratner
170,4723,Brian Helgeland
171,21692-21693,"Hironobu Sakaguchi, Motonori Sakakibara"
172,21712,Carl Franklin
173,323,Curtis Hanson
174,21879,Simon Wells
175,21931,Chris Nahon
176,22100,Hugh Johnson
177,22301,Liam Lynch
178,3288,Chris Weitz
179,957,Matthew Vaughn
180,5342,Mike Nichols
181,1978,Iain Softley
182,24173,Mike Binder
183,25453,Stefen Fangmeier
184,11694,Doug Liman
185,25598,Paul Greengrass
186,3388,James L. Brooks
187,19665,John Boorman
188,26481,Anand Tucker
189,5149,Bonnie Hunt
190,18323,Marc Lawrence
191,11614,M. Night Shyamalan
192,27846,John Herzfeld
193,13235,Alexander Payne
194,7409,J.B. Rogers
195,3026,Rob Reiner
196,366,James Mangold
197,29524,Rand Ravich
198,29009,Ken Kwapis
199,31024,Betty Thomas
200,3028,Bruce A. Evans
201,17494,Dennis Dugan
202,33254,Jim Gillespie
203,33279,Danny Cannon
204,33433,Scott Hicks
205,1011,Susanne Bier
